customer_id,site_id,year_month,risk_category,probability,risk_summary,primary_drivers,recommended_actions
CUST_01,CUST_01_SITE_1,2026-01-01,high,0.7023,"This site exhibits a high churn risk due to declining NPS scores and a negative trend in usage volume and bot performance. The combination of deterioration signals suggests a potential loss of customer engagement and satisfaction, necessitating immediate attention.","['nps_slope_3m', 'usage_slope_3m', 'bot_performance_slope_3m']","['Implement a proactive customer engagement campaign', 'Optimize bot performance and address underlying issues', 'Conduct a root cause analysis to understand the drivers of declining usage and NPS']"
CUST_07,CUST_07_SITE_1,2026-01-01,high,0.79728,"This site exhibits a high churn risk due to declining bot performance and uptime trends, coupled with a deterioration in support SLA. The consecutive rise in lack of RCA (Root Cause Analysis) is also a significant concern, indicating potential issues being overlooked.","['bot_performance_slope_3m', 'bot_uptime_slope_3m', 'lack_of_rca_consecutive_rise']","['Investigate and address the declining bot performance.', 'Improve bot uptime through proactive monitoring and maintenance.', 'Implement a robust RCA process to quickly identify and resolve underlying issues.']"
CUST_07,CUST_07_SITE_2,2026-01-01,medium,0.57837,"This site exhibits a medium churn risk due to a declining usage volume trend and a slight decrease in bot performance. The consecutive drop in NPS further indicates potential customer dissatisfaction, requiring immediate attention.","['usage_slope_3m', 'bot_performance_slope_3m', 'nps_slope_3m']","['Investigate the root cause of declining bot performance.', 'Proactively engage with customers to address NPS concerns.', 'Implement strategies to boost usage volume.']"
CUST_07,CUST_07_SITE_3,2026-01-01,medium,0.48067,"The site exhibits moderate churn risk due to a declining usage volume trend, coupled with a slight decrease in bot uptime. This suggests potential dissatisfaction and a need for proactive engagement to prevent further deterioration.","['usage_consecutive_drops', 'bot_uptime_slope_3m', 'support_sla_slope_3m']","['Implement personalized outreach to address declining usage.', 'Investigate and rectify the root cause of the bot uptime decline.', 'Monitor support SLA closely and proactively address potential issues.']"
CUST_07,CUST_07_SITE_4,2026-01-01,medium,0.66004,This site exhibits a medium risk level due to declining usage volume and a slight deterioration in bot performance. The recent usage drop warrants immediate attention to identify and address the root causes.,"['usage_consecutive_drops', 'bot_performance_slope_3m', 'metrics_snapshot_nps']","['Investigate usage decline trends', 'Optimize bot performance', 'Proactively address NPS feedback']"
CUST_07,CUST_07_SITE_5,2026-01-01,low,0.20367,"This site exhibits a slight deterioration in bot performance and a decreasing NPS score over the past 3 months, warranting close monitoring. While the overall risk remains low, the downward trend in key metrics suggests potential churn risks that require attention.","['bot_performance_slope_3m', 'nps_slope_3m', 'usage_slope_3m']","['Investigate the root cause of declining bot performance.', 'Proactively engage with customers to improve NPS scores.', 'Monitor usage volume trends to identify potential declines.']"
CUST_07,CUST_07_SITE_6,2026-01-01,low,0.32356,"This site exhibits a slightly negative behavior deterioration score and a moderate usage slope, indicating a potential decline in engagement. While the metrics snapshot remains largely stable, the recent rise in upgrade failures warrants close monitoring.","['usage_slope_3m', 'upgrade_failures_consecutive_rise', 'bot_performance_slope_3m']","['Proactive engagement outreach to high-value users', 'Investigate the root cause of upgrade failures', 'Monitor bot performance closely and optimize where possible']"
CUST_07,CUST_07_SITE_7,2026-01-01,low,0.29258,"This site exhibits a slight decline in usage volume over the past 3 months, coupled with a recent drop in overall usage. While the site's operational metrics remain largely stable, the trend suggests a potential for future churn.","['usage_slope_3m', 'usage_consecutive_drops', 'bot_uptime_slope_3m']","['Increase engagement efforts', 'Monitor bot uptime closely', 'Proactively reach out to users']"
CUST_08,CUST_08_SITE_1,2026-01-01,low,0.25921,"This site exhibits a slightly deteriorating trend with decreasing NPS scores and usage volume, indicating a potential risk of churn. While the site currently has acceptable uptime and support SLA, the recent negative trends warrant attention.","['nps_slope_3m', 'usage_consecutive_drops', 'usage_slope_3m']","['Proactively reach out to the customer to understand NPS feedback.', 'Implement targeted engagement campaigns to increase usage.', 'Monitor usage closely and address any further drops immediately.']"
CUST_08,CUST_08_SITE_2,2026-01-01,low,0.37199,"This site exhibits a slight decline in usage volume over the past 3 months, coupled with a minor deterioration in bot performance and uptime. While the overall NPS remains strong, the decreasing usage trend warrants close monitoring and proactive engagement to prevent further drop-off.","['usage_consecutive_drops', 'bot_performance_slope_3m', 'usage_slope_3m']","['Implement targeted engagement campaigns to reactivate dormant users.', 'Optimize bot performance through further tuning and testing.', 'Analyze user behavior to understand the drivers of usage decline.']"
CUST_08,CUST_08_SITE_3,2026-01-01,medium,0.57488,This site exhibits a medium churn risk due to declining usage volume and consecutive drops in NPS scores. The recent trend of decreasing usage and the slight deterioration in bot uptime warrant close monitoring and targeted interventions.,"['usage_slope_3m', 'nps_slope_3m', 'bot_uptime_slope_3m']","['Implement personalized engagement campaigns', 'Investigate and address bot uptime issues', 'Proactively reach out to impacted customers']"
CUST_06,CUST_06_SITE_6,2026-01-01,high,0.90954,"This site exhibits a high churn risk due to declining usage volume and negative NPS trends. Deteriorating bot performance and uptime, coupled with a concerning usage slope, are primary contributors to this elevated risk.","['usage_consecutive_drops', 'nps_slope_3m', 'bot_performance_slope_3m']","['Investigate root cause of usage decline', 'Improve bot performance and uptime', 'Proactively engage with impacted users']"
CUST_08,CUST_08_SITE_4,2026-01-01,low,0.3066,"This site exhibits a slight deterioration trend, primarily driven by a declining usage volume over the past 3 months and a minor decrease in NPS scores. While the site maintains high operational uptime and support SLA performance, proactive measures are recommended to stabilize usage and maintain customer satisfaction.","['usage_slope_3m', 'nps_slope_3m', 'bot_performance_slope_3m']","['Implement targeted engagement campaigns to drive usage recovery.', 'Conduct NPS surveys to understand customer concerns and identify areas for improvement.', 'Optimize bot performance to improve user experience and potentially increase engagement.']"
CUST_08,CUST_08_SITE_6,2026-01-01,low,0.05627,"This site exhibits a slight deterioration in usage, indicated by a consecutive drop in usage volume over the past three months. While support metrics remain strong, the downward trend in usage warrants attention to understand the underlying factors driving this change.","['usage_consecutive_drops', 'usage_slope_3m', 'bot_uptime_slope_3m']","['Investigate the cause of the usage drop.', 'Monitor bot uptime closely.', 'Analyze the impact of recent bot performance changes.']"
CUST_09,CUST_09_SITE_1,2026-01-01,medium,0.63049,"This site exhibits a medium risk level due to a deterioration in key metrics, specifically a declining NPS score and a slight decrease in bot performance. The consecutive drops in NPS and usage, coupled with a recent lack of RCA, suggest a potential churn risk that requires immediate attention.","['nps_slope_3m', 'usage_consecutive_drops', 'lack_of_rca_consecutive_rise']","['Conduct an NPS deep-dive to understand customer sentiment.', 'Implement proactive usage monitoring and targeted engagement campaigns.', 'Prioritize RCA documentation and investigation to address root causes.']"
CUST_09,CUST_09_SITE_2,2026-01-01,medium,0.45526,"This site exhibits a medium risk level due to declining NPS and recent usage drops, indicating potential customer dissatisfaction and reduced engagement. The bot performance is stable, but the overall trend shows decreasing usage volume over the past three months, potentially signaling a need for proactive intervention.","['usage_consecutive_drops', 'nps_slope_3m', 'usage_slope_3m']","['investigate NPS decline', 'optimize usage volume', 'proactive engagement outreach']"
CUST_09,CUST_09_SITE_3,2026-01-01,low,0.33347,"This site exhibits a slight deterioration in key metrics such as usage volume and NPS score, alongside a downward trend in bot performance and support SLA. While the overall risk remains low, the consecutive drops in NPS and the negative slope in usage volume warrant close monitoring.","['usage_slope_3m', 'nps_slope_3m', 'bot_performance_slope_3m']","['Investigate the root cause of the declining usage volume.', 'Proactively engage with customers to address negative NPS feedback.', 'Optimize bot performance to mitigate the recent decline.']"
CUST_09,CUST_09_SITE_4,2026-01-01,low,0.2739,"This site exhibits a slight deterioration in usage volume over the past 3 months, indicated by a negative usage slope. While metrics like bot performance and uptime remain stable, the overall trend suggests a potential for churn.  The slight decline in NPS is also a factor to consider.","['usage_slope_3m', 'nps_slope_3m', 'bot_uptime_slope_3m']","['Proactive outreach to key users', 'Monitor usage trends closely', 'Optimize bot performance to maintain user engagement']"
CUST_10,CUST_10_SITE_1,2026-01-01,low,0.29254,"This site currently presents a low churn risk with a probability of 0.29254.  While there are some slight deterioration trends in support SLA and bot performance, the overall metrics and trends remain stable.","['support_sla_slope_3m', 'bot_performance_slope_3m', 'usage_volume']","['Monitor support SLA closely', 'Investigate potential causes for declining bot performance', 'Continue to track and optimize usage volume']"
CUST_10,CUST_10_SITE_2,2026-01-01,high,0.76627,"This site exhibits a high churn risk due to declining NPS scores, significant usage volume drops, and consistently poor bot performance. These negative trends combined with a high behavioral deterioration score indicate a serious concern requiring immediate attention.","['NPS decline', 'Usage volume decrease', 'Bot performance degradation']","['Investigate NPS drivers', 'Optimize bot performance', 'Proactive customer outreach to understand usage patterns']"
CUST_10,CUST_10_SITE_3,2026-01-01,low,0.33186,"The site exhibits a slight deterioration in NPS, coupled with a moderate decline in the 3-month usage slope and a decrease in bot uptime slope. While the bot performance and support SLA remain relatively stable, the consecutive drops in NPS and the negative trend in bot uptime warrant close monitoring.","['nps_slope_3m', 'usage_slope_3m', 'bot_uptime_slope_3m']","['Investigate NPS decline causes', 'Monitor usage trends closely', 'Analyze bot uptime issues and implement improvements']"
CUST_10,CUST_10_SITE_4,2026-01-01,high,0.73384,This site exhibits a high churn risk due to declining NPS scores and a deteriorating trend in bot performance and uptime. The site's behavior deterioration score further indicates a concerning downward trajectory.,"['nps_slope_3m', 'bot_performance_slope_3m', 'bot_uptime_slope_3m']","['Investigate NPS drivers and implement recovery strategies', 'Optimize bot performance to improve accuracy and reliability', 'Proactively monitor bot uptime and address potential issues immediately']"
CUST_10,CUST_10_SITE_5,2026-01-01,high,0.98322,"This site exhibits a high churn risk due to a deteriorating usage volume, declining bot performance and uptime, and a sustained downward trend in NPS scores. These negative indicators, combined with the recent consecutive drops in NPS and usage, suggest a significant risk of customer attrition.","['usage_slope_3m', 'nps_slope_3m', 'bot_performance_slope_3m']","['Implement targeted engagement campaigns to improve NPS', 'Investigate and address the root causes of declining bot performance', 'Proactively monitor usage and identify at-risk customers for immediate intervention']"
CUST_08,CUST_08_SITE_5,2026-01-01,high,0.72352,"This site exhibits a high churn risk due to a significant deterioration in key metrics, including a low NPS score and declining usage volume. The downward trend in bot performance and uptime, combined with consecutive drops in NPS, exacerbate the risk.","['low_nps', 'decreasing_usage', 'declining_bot_performance']","['proactive_engagement_campaign', 'optimize_bot_configuration', 'investigate_root_cause_of_nps_drop']"
CUST_10,CUST_10_SITE_6,2026-01-01,medium,0.47319,"This site exhibits a medium churn risk due to a concerning decline in usage volume over the past 3 months, coupled with a slight decrease in bot uptime.  Further investigation is warranted to understand the contributing factors and implement targeted interventions.","['usage_consecutive_drops', 'bot_uptime_slope_3m', 'support_sla_slope_3m']","['Investigate the root cause of the usage drop.', 'Optimize bot uptime through proactive monitoring and maintenance.', 'Review support processes to improve SLA performance.']"
CUST_06,CUST_06_SITE_5,2026-01-01,medium,0.58667,This site exhibits a medium churn risk due to declining usage volume and a slight decrease in NPS scores over the past three months. The deterioration in metrics suggests a potential shift in customer behavior or satisfaction.,"['usage_slope_3m', 'nps_slope_3m', 'bot_performance_slope_3m']","['Investigate the reasons behind the declining usage volume.', 'Proactively engage with customers to address any dissatisfaction.', 'Monitor bot performance closely and address any further degradation.']"
CUST_06,CUST_06_SITE_3,2026-01-01,low,0.08832,"This site exhibits a slight deterioration in key metrics, indicated by a negative behavior_deterioration_score and a recent rise in upgrade failures. While the bot performance and support SLA remain strong, the trend of decreasing bot uptime warrants attention.","['bot_uptime_slope_3m', 'upgrade_failures_consecutive_rise', 'usage_slope_3m']","['Increase bot monitoring and alerts for uptime.', 'Investigate the root cause of the recent upgrade failures.', 'Analyze usage trends to identify potential churn signals.']"
CUST_01,CUST_01_SITE_2,2026-01-01,low,0.36281,"This site exhibits a low churn risk, indicated by a probability of 36.28%. While there is a slight deterioration in usage volume and a small decrease in bot uptime, the overall metrics remain within acceptable ranges, supported by stable bot performance and NPS scores. ","['usage_volume decline', 'bot uptime slight decrease', 'nps_slope_3m increase']","['Proactively engage with users experiencing lower usage volume', 'Monitor bot uptime closely and address any potential issues', 'Investigate the drivers behind the NPS slope increase to understand user satisfaction and address potential pain points']"
CUST_01,CUST_01_SITE_3,2026-01-01,medium,0.66237,"This site exhibits a medium risk due to declining NPS scores and a negative trend in usage volume over the past 3 months. The continuous drops in NPS, combined with the slight decrease in usage, indicate a potential loss of engagement and value perception.","['nps_slope_3m', 'usage_slope_3m', 'bot_uptime_slope_3m']","['Implement proactive outreach to NPS detractors', 'Investigate the root cause of declining usage', 'Optimize bot uptime to improve user experience']"
CUST_01,CUST_01_SITE_4,2026-01-01,high,0.95015,"This site exhibits a high churn risk due to a significant deterioration in usage volume and NPS scores, coupled with declining bot performance and support SLA. The combination of these negative trends strongly suggests an imminent churn event.","['Declining Usage Volume', 'Negative NPS Trend', 'Decreasing Bot Performance']","['Implement Targeted Engagement Campaign', 'Investigate Bot Performance Issues & Optimize', 'Proactive Support Intervention for High-Risk Customers']"
CUST_01,CUST_01_SITE_5,2026-01-01,low,0.17952,"This site exhibits a slight downward trend in usage volume over the past three months, alongside a slight decline in bot performance. While the overall risk remains low, these metrics warrant close monitoring and targeted interventions to ensure sustained performance.","['usage_slope_3m', 'bot_performance_slope_3m', 'support_sla_slope_3m']","['Optimize bot performance through further tuning.', 'Proactively address support SLA deviations.', 'Monitor usage trends closely and investigate potential causes.']"
CUST_01,CUST_01_SITE_6,2026-01-01,high,0.90958,"This site exhibits a high churn risk due to a significant deterioration in key metrics including decreasing usage volume and NPS, alongside declining bot performance and support SLA. The continuous negative trend signals further exacerbate this risk, indicating a worsening operational environment.","['decreasing usage volume', 'negative NPS trend', 'deteriorating bot performance']","['Investigate root cause of declining usage', 'Improve bot performance and uptime', 'Proactively address support SLA issues']"
CUST_02,CUST_02_SITE_1,2026-01-01,high,0.76941,"This site exhibits a high churn risk due to declining usage volume and a recent increase in NPS drops. The deterioration in bot performance and support SLA further exacerbate the situation, indicating underlying issues that require immediate attention.","['usage_slope_3m', 'nps_slope_3m', 'support_sla_slope_3m']","['Investigate root cause of declining usage', 'Implement proactive support interventions', 'Optimize bot performance and ensure SLAs are consistently met']"
CUST_02,CUST_02_SITE_2,2026-01-01,high,0.72246,"This site exhibits a high churn risk due to declining usage volume, bot performance, and NPS scores over the past three months. The combination of these deterioration signals, along with persistent negative trends, suggests a significant risk of customer attrition.","['decreasing usage volume', 'deteriorating bot performance', 'negative NPS trend']","['proactive engagement with high-value customers', 'optimize bot performance through targeted training', 'conduct a customer satisfaction survey to identify root causes']"
CUST_02,CUST_02_SITE_3,2026-01-01,low,0.21624,"This site exhibits a slight deterioration in NPS trend (-0.10) and a negative behavior deterioration score (-0.19), indicating a potential for future churn. While the site maintains high operational metrics and positive trends in usage volume, proactive monitoring is recommended.","['nps_slope_3m', 'behavior_deterioration_score', 'usage_volume']","['Conduct NPS survey to understand customer sentiment', 'Investigate the root cause of the behavior deterioration score', 'Implement targeted engagement strategies to improve usage volume']"
CUST_03,CUST_03_SITE_1,2026-01-01,low,0.39494,"This site currently presents a low churn risk with a probability of 0.39494. While recent NPS trends are slightly declining, the overall metrics snapshot remains stable, and the site demonstrates high uptime and support SLA performance.","['nps_slope_3m', '-0.9999999999999986']","['Monitor NPS trends closely', 'Investigate potential negative feedback drivers from NPS', 'Maintain high service uptime and support SLA performance']"
CUST_03,CUST_03_SITE_2,2026-01-01,low,0.39579,"This site exhibits a low churn risk with a probability of 39.58%. While recent usage volume has slightly declined, the bot and support metrics remain stable, and NPS is trending positively. Further monitoring is recommended.","['usage_slope_3m', 'nps_slope_3m', 'support_sla_slope_3m']","['Proactive outreach to key users', 'Monitor bot performance closely to address any dips', 'Review support processes to maintain high SLA levels']"
CUST_06,CUST_06_SITE_4,2026-01-01,high,0.9218,"This site exhibits a high churn risk due to a significant decline in Net Promoter Score (-0.7) and consecutive drops in usage and NPS, coupled with a deteriorating bot performance. The sustained negative trend signals further exacerbate the risk, indicating an increasing likelihood of customer churn.","['nps_slope_3m', 'usage_consecutive_drops', 'behavior_deterioration_score']","['Investigate NPS drivers and implement targeted engagement strategies.', 'Address declining usage through personalized support and value-added services.', 'Monitor bot performance closely and address any identified issues proactively.']"
CUST_03,CUST_03_SITE_3,2026-01-01,high,0.90258,"This site exhibits a high churn risk due to a significant decline in Net Promoter Score (NPS) over the past three months, coupled with decreasing usage volume.  The deterioration in bot performance and uptime further exacerbate the risk, indicating potential operational issues impacting customer experience.","['NPS_decline', 'decreasing_usage_volume', 'bot_performance_degradation']","['Investigate NPS drivers', 'Implement usage recovery strategies', 'Optimize bot performance and uptime']"
CUST_03,CUST_03_SITE_5,2026-01-01,low,0.05615,"This site exhibits a moderate deterioration in key metrics, specifically a negative behavior deterioration score and a recent dip in NPS. While the overall probability of churn remains low, monitoring these trends is crucial to prevent further decline.","['usage_volume_decline', 'nps_drop', 'support_sla_slope']","['proactive engagement with high-value users', 'investigate root cause of NPS decline', 'optimize support processes to improve SLA']"
CUST_03,CUST_03_SITE_6,2026-01-01,low,0.14955,"This site currently presents a low churn risk with a probability of 0.14955. However, recent trends indicate a declining usage volume over the past three months, which warrants close monitoring.  Additionally, a slight decrease in NPS scores suggests a potential erosion of customer satisfaction.","['usage_slope_3m', 'nps_slope_3m', 'behavior_deterioration_score']","['Proactive outreach to key users', 'Investigate NPS decline', 'Monitor usage trends closely']"
CUST_04,CUST_04_SITE_1,2026-01-01,low,0.06731,"This site currently exhibits a low churn risk with a probability of 0.06731. While there are slight downward trends in NPS and usage volume, the metrics snapshot remains strong with high bot performance and uptime.","['nps_slope_3m', 'usage_slope_3m', 'bot_utilization']","['Monitor NPS trends closely', 'Investigate potential drivers of usage decline', 'Optimize bot utilization to maximize efficiency']"
CUST_04,CUST_04_SITE_2,2026-01-01,medium,0.54701,This site exhibits a medium churn risk due to a combination of declining NPS scores and consecutive drops in usage volume. Further investigation is needed to address the underlying issues driving these trends.,"['nps_slope_3m', 'usage_consecutive_drops', 'usage_volume']","['Investigate NPS drivers', 'Implement usage recovery strategies', 'Proactive customer engagement']"
CUST_04,CUST_04_SITE_3,2026-01-01,medium,0.46248,This site exhibits a medium risk level due to a concerning trend in support SLA performance and a slight decrease in NPS scores. Further investigation into the underlying causes of these metrics is warranted to prevent further deterioration.,"['support_sla_slope_3m', 'nps_slope_3m', 'bot_performance_slope_3m']","['Investigate root cause of support SLA degradation', 'Conduct user research to understand NPS decline', 'Optimize bot performance to improve user experience']"
CUST_05,CUST_05_SITE_1,2026-01-01,high,0.76373,"This site exhibits a high churn risk due to declining metrics across multiple dimensions, including usage volume, bot performance, and NPS scores. The persistent downward trend in these metrics, coupled with a deterioration in bot uptime and support SLA, suggests a weakening customer relationship and potential dissatisfaction.","['usage_slope_3m', 'nps_slope_3m', 'bot_performance_slope_3m']","['Implement a proactive engagement campaign targeting at-risk users.', 'Investigate and address the root causes of declining bot performance.', 'Conduct a customer satisfaction survey to understand driver of negative NPS.']"
CUST_05,CUST_05_SITE_2,2026-01-01,medium,0.46078,"This site exhibits a medium churn risk due to a slight deterioration in support SLA and a negative trend in bot uptime. While usage volume is relatively high, the recent increase in NPS suggests a need to investigate and address underlying customer satisfaction issues.","['support_sla_slope_3m', 'bot_uptime_slope_3m', 'nps_slope_3m']","['Investigate support team performance and identify areas for improvement.', 'Monitor and optimize bot uptime to maintain consistent service levels.', 'Conduct customer surveys to understand the drivers of the NPS decline and address customer concerns proactively.']"
CUST_05,CUST_05_SITE_3,2026-01-01,medium,0.5207,"This site exhibits a medium risk level due to a declining usage volume trend over the past 3 months, coupled with a streak of consecutive usage drops. While bot performance and uptime remain relatively stable, the overall deterioration signals require attention to mitigate potential churn.","['usage_slope_3m', 'usage_consecutive_drops', 'nps_slope_3m']","['Implement targeted engagement campaigns to reactivate users', 'Investigate the root cause of the usage decline to address underlying issues', 'Monitor NPS closely and proactively address negative feedback']"
CUST_06,CUST_06_SITE_1,2026-01-01,low,0.293,"This site exhibits a slight decline in usage volume over the past 3 months, alongside a minor drop in NPS. While the overall risk remains low, the consecutive drops in NPS and the negative usage trend warrant close monitoring.","['usage_slope_3m', 'nps_slope_3m', 'support_sla_slope_3m']","['Investigate the root cause of the declining NPS.', 'Proactively address support SLA issues to improve customer satisfaction.', 'Monitor usage trends and identify potential intervention points.']"
CUST_06,CUST_06_SITE_2,2026-01-01,low,0.09193,"This site exhibits a slight deterioration in usage volume over the past three months, indicated by a negative trend. Despite generally high performance metrics and support SLAs, the slight decline in usage warrants monitoring to prevent future churn.",['usage_slope_3m'],"['Proactively engage with the customer to understand usage patterns.', 'Offer personalized support and incentives to drive increased usage.', 'Conduct a deeper analysis of customer segment to identify potential churn risks.']"
CUST_03,CUST_03_SITE_4,2026-01-01,high,0.86216,"This site exhibits a high churn risk due to significant negative trends across key metrics, including declining NPS, usage volume, and bot performance.  Furthermore, the recent consecutive drops in NPS and the deterioration of bot performance suggest a weakening customer relationship and operational challenges.","['nps_slope_3m', 'usage_slope_3m', 'bot_performance_slope_3m']","['Investigate NPS drivers and implement targeted engagement campaigns', 'Optimize bot performance through retraining and tuning', 'Proactively address declining usage volume with personalized offers and support']"
CUST_10,CUST_10_SITE_7,2026-01-01,low,0.27504,"This site exhibits a slight decline in usage volume over the past three months, coupled with a minor decrease in bot performance and uptime. While the NPS is relatively high, the consecutive drops in usage warrant attention.","['usage_slope_3m', 'bot_performance_slope_3m', 'bot_uptime_slope_3m']","['Investigate usage decline', 'Monitor bot performance closely', 'Analyze root causes for uptime fluctuations']"
